#DATOS PARA h=0.005
ro		Función		FunciónReal		Error
8.92    11.211    8.2442    2.9671
8.925    11.16    8.2038    2.956
8.93    11.108    8.1634    2.9448
8.935    11.057    8.123    2.9337
8.94    11.005    8.0827    2.9225
8.945    10.954    8.0423    2.9113
8.95    10.902    8.002    2.9
8.955    10.85    7.9617    2.8887
8.96    10.799    7.9215    2.8774
8.965    10.747    7.8812    2.8661
8.97    10.696    7.841    2.8547
8.975    10.644    7.8008    2.8434
8.98    10.593    7.7606    2.832
8.985    10.541    7.7205    2.8205
8.99    10.489    7.6803    2.8091
8.995    10.438    7.6402    2.7976
9    10.386    7.6002    2.7861
9.005    10.335    7.5601    2.7745
9.01    10.283    7.52    2.763
9.015    10.231    7.48    2.7514
9.02    10.18    7.44    2.7398
9.025    10.128    7.4001    2.7281
9.03    10.077    7.3601    2.7165
9.035    10.025    7.3202    2.7048
9.04    9.9733    7.2803    2.6931
9.045    9.9217    7.2404    2.6813
9.05    9.8701    7.2005    2.6696
9.055    9.8184    7.1607    2.6578
9.06    9.7668    7.1209    2.646
9.065    9.7152    7.0811    2.6341
9.07    9.6635    7.0413    2.6222
9.075    9.6119    7.0015    2.6103
