#DATOS PARA h=0.1
t		Y1		Y2		V1		V2
28.6		-1.5196		-2.15649		1.88032		1.83116
28.7		-1.32805		-1.97018		1.94646		1.89511
28.8		-1.13115		-1.77745		1.98743		1.95955
28.9		-0.931413		-1.57826		2.00313		2.02425
29		-0.731345		-1.37261		1.99423		2.08871
29.1		-0.533343		-1.16055		1.96211		2.15222
29.2		-0.33963		-0.942227		1.90884		2.2138
29.3		-0.152193		-0.71789		1.83709		2.27232
29.4		0.027276		-0.487908		1.75002		2.32649
29.5		0.197419		-0.252785		1.65119		2.37488
29.6		0.357248		-0.0131734		1.54439		2.41603
29.7		0.506162		0.23013		1.43354		2.44847
29.8		0.643951		0.476183		1.32252		2.47077
29.9		0.770785		0.723903		1.21503		2.4816
30		0.88719		0.972082		1.11449		2.47979
30.1		0.994014		1.2194		1.02386		2.46433
30.2		1.09238		1.46447		0.945587		2.4345
30.3		1.18361		1.70581		0.881494		2.3898
30.4		1.26919		1.94193		0.832718		2.33005
30.5		1.35068		2.17132		0.799674		2.25534
30.6		1.42964		2.39251		0.782048		2.16611
30.7		1.50757		2.60408		0.77881		2.06305
30.8		1.58582		2.80469		0.788261		1.94718
30.9		1.66557		2.99313		0.808096		1.81974
31		1.7477		3.1683		0.8355		1.68219
31.1		1.83281		3.32928		0.867254		1.53619
31.2		1.92118		3.47532		0.899861		1.3835
31.3		2.01269		3.60582		0.929684		1.22599
31.4		2.1069		3.72041		0.953083		1.0655
31.5		2.20298		3.81889		0.966558		0.903884
31.6		2.29977		3.90121		0.966889		0.742882
31.7		2.39582		3.96754		0.951257		0.584105
31.8		2.48941		4.01816		0.917361		0.428982
31.9		2.57863		4.0535		0.863509		0.278721
32		2.66141		4.07409		0.78869		0.134286
32.1		2.73566		4.08057		0.692624		-0.00362903
32.2		2.79924		4.0736		0.575778		-0.134605
32.3		2.85016		4.05389		0.439363		-0.258499
32.4		2.88653		4.02213		0.285298		-0.375435
32.5		2.90671		3.97902		0.116152		-0.485782
32.6		2.90936		3.92518		-0.0649402		-0.590125
32.7		2.89344		3.86117		-0.254383		-0.689227
32.8		2.85833		3.78748		-0.448238		-0.783988
32.9		2.80379		3.70449		-0.64236		-0.875395
33		2.72999		3.61248		-0.832538		-0.964471
33.1		2.63755		3.51164		-1.01464		-1.05222
33.2		2.52747		3.40205		-1.18474		-1.13959
33.3		2.40112		3.2837		-1.33928		-1.22739
33.4		2.26023		3.15653		-1.47517		-1.31629
33.5		2.10679		3.02039		-1.5899		-1.40677
33.6		1.94302		2.87512		-1.68161		-1.49905
33.7		1.77128		2.72052		-1.74917		-1.59314
33.8		1.59401		2.55644		-1.7922		-1.68877
33.9		1.41365		2.38273		-1.81107		-1.78541
34		1.23256		2.19934		-1.80692		-1.88229
34.1		1.05297		2.0063		-1.78156		-1.97839
34.2		0.876879		1.80373		-1.73741		-2.07252
34.3		0.706019		1.59191		-1.67744		-2.16328
34.4		0.541806		1.37124		-1.60504		-2.24918
34.5		0.385305		1.14229		-1.52385		-2.32863
34.6		0.237202		0.905779		-1.4377		-2.40004
34.7		0.097802		0.662599		-1.35041		-2.46183
34.8		-0.0329665		0.413783		-1.26567		-2.51252
34.9		-0.155532		0.16051		-1.18689		-2.55076
35		-0.270646		-0.0959141		-1.11711		-2.57538
35.1		-0.379338		-0.354079		-1.05882		-2.58543
35.2		-0.48286		-0.612492		-1.01396		-2.58025
35.3		-0.582622		-0.869606		-0.98378		-2.55942
35.4		-0.680125		-1.12385		-0.968812		-2.52287
35.5		-0.776887		-1.37366		-0.968868		-2.4708
35.6		-0.874371		-1.61751		-0.98304		-2.40374
35.7		-0.973914		-1.85394		-1.00973		-2.32249
35.8		-1.07666		-2.08157		-1.04673		-2.22813
35.9		-1.18351		-2.29917		-1.09129		-2.12198
36		-1.29507		-2.50562		-1.14021		-2.00553
36.1		-1.41159		-2.69999		-1.19001		-1.88044
36.2		-1.53298		-2.88148		-1.23701		-1.74845
36.3		-1.65877		-3.04951		-1.27751		-1.61134
36.4		-1.78814		-3.20364		-1.30791		-1.47088
36.5		-1.9199		-3.34363		-1.32483		-1.32879
36.6		-2.05256		-3.46939		-1.32531		-1.18664
36.7		-2.18433		-3.581		-1.30685		-1.04587
36.8		-2.31323		-3.67865		-1.26753		-0.907679
36.9		-2.4371		-3.76266		-1.20614		-0.773069
37		-2.5537		-3.83341		-1.12216		-0.642767
37.1		-2.66079		-3.89137		-1.01582		-0.517237
37.2		-2.75615		-3.93703		-0.88812		-0.396669
37.3		-2.83775		-3.97087		-0.740775		-0.280996
37.4		-2.90373		-3.99338		-0.576175		-0.169903
37.5		-2.95251		-4.00499		-0.397305		-0.062856
37.6		-2.98283		-4.00606		-0.207648		0.0408578
37.7		-2.99381		-3.9969		-0.0110683		0.142095
37.8		-2.98495		-3.97769		0.188321		0.241803
37.9		-2.95619		-3.94855		0.386295		0.340977
38		-2.90788		-3.90948		0.578662		0.440598
38.1		-2.84078		-3.86039		0.761406		0.541591
38.2		-2.75604		-3.80109		0.930823		0.644769
38.3		-2.65517		-3.73134		1.08364		0.750791
38.4		-2.53996		-3.65082		1.21715		0.860122
38.5		-2.41246		-3.5592		1.32925		0.973003
38.6		-2.27487		-3.4561		1.41856		1.08942
38.7		-2.12953		-3.3412		1.48445		1.20911
38.8		-1.97876		-3.21419		1.52702		1.33154
38.9		-1.82487		-3.07483		1.54715		1.45589
39		-1.67003		-2.92298		1.54639		1.58114
39.1		-1.51622		-2.75861		1.52696		1.70603
39.2		-1.36517		-2.58183		1.49161		1.82911
39.3		-1.21832		-2.3929		1.44355		1.94882
39.4		-1.07677		-2.19224		1.38631		2.06346
39.5		-0.941242		-1.98044		1.32359		2.17134
39.6		-0.812107		-1.75825		1.25915		2.27074
39.7		-0.689348		-1.52662		1.19665		2.36004
39.8		-0.572596		-1.28663		1.13953		2.43771
39.9		-0.461159		-1.03951		1.09084		2.50243
40		-0.35406		-0.786619		1.05317		2.55305
40.1		-0.25009		-0.529405		1.02853		2.58869
40.2		-0.147873		-0.269401		1.01827		2.60876
40.3		-0.0459322		-0.00818302		1.02306		2.61295
40.4		0.0572397		0.252659		1.04282		2.60126
40.5		0.163106		0.51155		1.07676		2.57402
40.6		0.273017		0.766963		1.12339		2.53182
40.7		0.388138		1.01745		1.18058		2.47557
40.8		0.509396		1.26165		1.24563		2.40638
40.9		0.637422		1.49833		1.3154		2.3256
41		0.772517		1.72643		1.38638		2.23472
41.1		0.914616		1.945		1.45488		2.13537
41.2		1.06328		2.15327		1.5171		2.02921
41.3		1.2177		2.35067		1.56934		1.91792
41.4		1.3767		2.53674		1.60809		1.80315
41.5		1.53876		2.71123		1.63019		1.68641
41.6		1.70209		2.874		1.63295		1.56909
41.7		1.86464		3.02507		1.61423		1.45239
41.8		2.02417		3.16454		1.57256		1.33729
41.9		2.17836		3.2926		1.50718		1.22452
42		2.32482		3.40953		1.41808		1.11455
42.1		2.46121		3.51562		1.30601		1.0076
42.2		2.5853		3.61115		1.17244		0.903611
42.3		2.69505		3.69643		1.01957		0.802292
42.4		2.78866		3.77168		0.850193		0.70313
42.5		2.86465		3.8371		0.667653		0.605427
42.6		2.92188		3.89279		0.475703		0.508337
42.7		2.95961		3.93876		0.27839		0.410917
42.8		2.97752		3.97493		0.0799181		0.312171
42.9		2.97569		4.00112		-0.1155		0.211108
43		2.95465		4.01704		-0.303781		0.106787
43.1		2.9153		4.02234		-0.481113		-0.00162721
43.2		2.85891		4.01656		-0.644084		-0.11482
43.3		2.78706		3.9992		-0.789793		-0.233286
43.4		2.70161		3.96971		-0.915948		-0.357297
43.5		2.60458		3.92755		-1.02094		-0.486871
43.6		2.49816		3.87216		-1.10388		-0.621763
43.7		2.38455		3.80304		-1.16466		-0.761454
43.8		2.26594		3.71974		-1.20388		-0.905155
43.9		2.14445		3.62191		-1.22288		-1.05182
44		2.02198		3.50931		-1.22364		-1.20019
44.1		1.90024		3.38186		-1.20875		-1.34877
44.2		1.78065		3.23961		-1.18122		-1.49594
44.3		1.66431		3.08278		-1.14445		-1.63997
44.4		1.55195		2.91178		-1.10206		-1.77903
44.5		1.44396		2.7272		-1.05773		-1.91133
44.6		1.34035		2.5298		-1.01511		-2.0351
44.7		1.24077		2.32052		-0.977611		-2.14869
44.8		1.14455		2.10045		-0.948353		-2.25058
44.9		1.05073		1.87083		-0.929982		-2.33947
45		0.958116		1.63302		-0.9246		-2.41429
45.1		0.865327		1.38847		-0.933671		-2.47423
45.2		0.770873		1.13869		-0.95797		-2.5188
45.3		0.673222		0.885233		-0.997547		-2.54778
45.4		0.570874		0.629652		-1.05172		-2.56129
45.5		0.462434		0.373479		-1.11912		-2.55972
45.6		0.346677		0.118188		-1.19768		-2.54377
45.7		0.222611		-0.134826		-1.28479		-2.51438
45.8		0.0895363		-0.384277		-1.37733		-2.4727
45.9		-0.0529192		-0.629002		-1.47179		-2.42009
46		-0.204762		-0.867978		-1.56445		-2.35799
46.1		-0.36562		-1.10034		-1.65144		-2.28797
46.2		-0.534733		-1.32536		-1.72894		-2.21157
46.3		-0.710969		-1.54249		-1.7933		-2.13034
46.4		-0.892842		-1.75131		-1.84117		-2.04573
46.5		-1.07856		-1.95157		-1.86966		-1.95906
46.6		-1.26605		-2.1431		-1.8764		-1.87148
46.7		-1.45305		-2.32586		-1.85965		-1.78393
46.8		-1.63716		-2.49991		-1.8184		-1.69711
46.9		-1.8159		-2.66533		-1.75236		-1.61149
47		-1.98682		-2.82225		-1.66201		-1.52725
47.1		-2.14753		-2.97082		-1.54859		-1.44434
47.2		-2.29583		-3.11116		-1.41404		-1.36245
47.3		-2.42972		-3.24333		-1.26096		-1.28107
47.4		-2.54751		-3.36736		-1.09251		-1.19946
47.5		-2.64783		-3.48319		-0.912305		-1.11679
47.6		-2.72971		-3.59065		-0.724289		-1.03206
47.7		-2.79257		-3.6895		-0.53261		-0.944249
47.8		-2.83625		-3.77936		-0.341469		-0.852329
47.9		-2.86102		-3.85979		-0.154982		-0.755309
48		-2.86753		-3.93023		0.0229678		-0.652298
48.1		-2.85683		-3.99003		0.188853		-0.54255
48.2		-2.83027		-4.03849		0.339628		-0.425506
48.3		-2.78949		-4.07487		0.472822		-0.300833
48.4		-2.73635		-4.0984		0.586628		-0.168445
48.5		-2.67285		-4.10831		0.67995		-0.0285309
48.6		-2.60106		-4.10387		0.752436		0.118445
48.7		-2.52304		-4.08441		0.804484		0.271738
48.8		-2.44081		-4.04935		0.837209		0.430338
48.9		-2.35619		-3.99821		0.852399		0.592989
49		-2.27083		-3.93066		0.852436		0.758218
49.1		-2.18611		-3.84653		0.840201		0.924379
49.2		-2.10309		-3.74581		0.818959		1.08969
49.3		-2.0225		-3.62868		0.792227		1.25229
49.4		-1.94471		-3.49551		0.763641		1.4103
49.5		-1.86972		-3.34684		0.736813		1.56184
49.6		-1.79717		-3.18341		0.715187		1.70515
49.7		-1.7264		-3.00614		0.701911		1.83857
49.8		-1.65642		-2.81608		0.699707		1.96064
49.9		-1.58601		-2.61443		0.710771		2.07013
50		-1.51377		-2.40251		0.736682		2.16604
50.1		-1.43815		-2.1817		0.778337		2.24769
50.2		-1.35757		-1.95346		0.835916		2.31467
50.3		-1.27045		-1.71926		0.908862		2.36689
50.4		-1.17533		-1.48057		0.995907		2.40455
50.5		-1.07087		-1.23882		1.0951		2.42815
50.6		-0.955984		-0.995383		1.20389		2.43843
50.7		-0.829869		-0.751544		1.31921		2.43639
50.8		-0.69204		-0.508478		1.43755		2.42318
50.9		-0.542382		-0.267236		1.55517		2.40013
51		-0.381161		-0.0287337		1.66813		2.36863
51.1		-0.209042		0.206257		1.77251		2.33013
51.2		-0.0270722		0.437106		1.86452		2.28604
51.3		0.163331		0.663324		1.94062		2.23773
51.4		0.360417		0.884553		1.99772		2.18643
51.5		0.562152		1.10055		2.03319		2.13323
51.6		0.766268		1.31117		2.04506		2.07901
51.7		0.970333		1.51634		2.03203		2.02443
51.8		1.17182		1.71605		1.99352		1.96991
51.9		1.36819		1.91033		1.92975		1.9156
52		1.55696		2.09918		1.84167		1.86141
52.1		1.73577		2.2826		1.73097		1.807
52.2		1.90248		2.46055		1.60001		1.75182
52.3		2.05519		2.63292		1.45175		1.6951
52.4		2.19236		2.79949		1.28963		1.63595
52.5		2.31278		2.95999		1.11748		1.57332
52.6		2.41566		3.11401		0.939341		1.50614
52.7		2.50059		3.26103		0.759376		1.43329
52.8		2.56761		3.40044		0.581697		1.3537
52.9		2.61714		3.53151		0.41023		1.26641
53		2.64998		3.65344		0.248581		1.17058
53.1		2.66729		3.76532		0.0999135		1.06554
53.2		2.67049		3.86622		-0.0331581		0.950866
53.3		2.66125		3.95517		-0.148653		0.826375
53.4		2.64139		4.03117		-0.24529		0.692159
